id,title,journal,month,year
546,"Printing Untethered Self-Reconfigurable, Self-Amputating Soft Robots from Recyclable Self-Healing Fibers",Wiley,Dec,2024
547,Organic Ink Multi-Material 3D Printing of Sustainable Soft Systems,Wiley,Nov,2024
548,Design and gait research of pneumatic soft quadruped robot,SAGE,Dec,2024
549,Computational Design of Customized Vacuum-Driven Soft Grippers,IEEE RA-L,Dec,2024
550,Autologous Variable Stiffness Soft Finger Based on Cross-Layer Jamming for Multimode Grasping,IEEE RA-L,Dec,2024
551,PneuNet Based Hybrid Soft Gripper for Multi-Shape Object Handling,IEEE Access,Dec,2024
552,BerryTwist: A Twisting-Tube Soft Robotic Gripper for Blackberry Harvesting,IEEE RA-L,Nov,2024
553,A Rigid-Flexible-Soft Coupled Dexterous Hand With Sliding Tactile Perception and Feedback,IEEE RA-L,Nov,2024
554,TacPalm: A Soft Gripper With a Biomimetic Optical Tactile Palm for Stable Precise Grasping,IEEE Sensors,Oct,2024
555,MOGrip: Gripper for multiobject grasping in pick-and-place tasks using translational movements of fingers,Science,Dec,2024
556,Toward Damage-Less Robotic Fragile Fruit Grasping: A Closed-Loop Force Control Method for Pneumatic-Driven Soft Gripper,SoRo Journal,Dec,2024
557,A Soft-Rigid Gripper for Safe Handling and Transportation,Wiley,Dec,2024
558,Optimizing the grasping behavior of a soft robot�s gripper,Wiley,Oct,2024
559,Deformation Control and Thrust Analysis of a Flexible Fishtail With Muscle-Like Actuation,IEEE T-RO,Nov,2024
560,Online Hydraulic Stiffness Modulation of a Soft Robotic Fish tail for Improved Thrust and Efficiency,SoRo Journal,Oct,2024
561,"Design, Characterization, and Validation of a Variable Stiffness Prosthetic Elbow",IEEE T-RO,Nov,2024
562,3D Printed Magnetic Bionic Robot Inspired by Octopus for Drug Transportation,SoRo Journal,Dec,2024
563,Aloe Leaves-Inspired Multi-Stimuli Bidirectional Bending Self-Sensing Actuator for Smart Solar Panel,Wiley,Dec,2024
564,Inverse Design of Snap-Actuated Jumping Robots Powered by Mechanics-Aided Machine Learning,IEEE RA-L,Dec,2024
565,Soft Synergies: Model Order Reduction of Hybrid Soft-Rigid Robots via Optimal Strain Parameterization,IEEE T-RO,Dec,2024
566,A Motion Planner for Growing Reconfigurable Inflated Beam Manipulators in Static Environments,IEEE RA-L,Dec,2024
567,Encoding Desired Deformation Profiles in Endoscope-Like Soft Robots,IEEE T-MRB,Nov,2024
568,Physics-Guided Deep Learning Enabled Surrogate Modeling for Pneumatic Soft Robots,IEEE RA-L,Nov,2024
569,State Estimation by Joint Approach With Dynamic Modeling and Observer for Soft Actuator,IEEE RA-L,Oct,2024
570,Analysis and Verification on Backstepping Control of Antagonistic Variable Stiffness Actuators,IEEE RA-L,Oct,2024
571,Characterization and Modeling of Fabric-Based Pneumatic Actuators With Asymmetric Chambers for Soft Gloves,IEEE RA-L,Oct,2024
572,A Koopman-based residual modeling approach for the control of a soft robot arm,Sage,Oct,2024
573,An empirical model of soft bellows actuator,Nature,Nov,2024
574,A Computational Approach for Internal Tendon Routing Channels in a Tendon-Driven Continuum Joint,SoRo Journal,Dec,2024
575,Shape Reconstruction of Extensible Continuum Manipulator Based on Soft Sensors,SoRo Journal,Dec,2024
576,A Novel Parameter Estimation Method for Pneumatic Soft Hand Control Applying Logarithmic Decrement for Pseudo-Rigid Body Modeling,Wiley,Dec,2024
577,Clinical translation of wireless soft robotic medical devices,Nature,Mar,2024
578,"Oceanic Challenges to Technological Solutions: A Review of Autonomous Underwater Vehicle Path Technologies in Biomimicry, Control, Navigation, and Sensing",IEEE Access,Mar,2024
579,Pioneering healthcare with soft robotic devices: A review,Wiley,Feb,2024
580,Artificial Muscles for Underwater Soft Robots: Materials and Their Interactions,Annual Reviews,Mar,2024
581,SMA Wire Use in Hybrid Twisting and Bending/Extending Soft Fiber- Reinforced Actuators,MDPI,Mar,2024
582,Development and Testing of Novel Soft Sleeve Actuators,IEEE Access,Mar,2024
583,A Two-Chamber Soft Actuator With An Expansion Limit Line for Force Enhancement,IEEE RA-L,Mar,2024
584,Towards Stiffness Tunable Programmable Matter,IEEE RA-L,Mar,2024
585,A Bioinspired Single Actuator-Driven Soft Robot Capable of Multistrategy Locomotion,IEEE T-RO,Feb,2024
586,Stiffness Control of Laminar Jammers With Fused Layers: A Discrete Approach,IEEE RA-L,Feb,2024
587,A Soft Finger With Tensile Variable Stiffness Based on the Cross- Sliding Jamming Mechanism,IEEE RA-L,Feb,2024
588,Waterbomb Origami Mechanism Pneumatic Manipulator Design Based on DH Parameter Method and Symmetric Folding Hypothesis,IEEE Access,Feb,2024
589,Multimodal Soft Amphibious Robots Using Simple Plastic-Sheet- Reinforced Thin Pneumatic Actuators,IEEE T-RO,Feb,2024
590,How Fast Can a Robotic Drummer Beat Using Dielectric Elastomer Actuators?,IEEE RA-L,Jan,2024
591,"Design of Layer Jamming Liver Retractor for Surgical Access, Deployment, and Removal",IEEE T-MRB,Jan,2024
592,SPIRO: A Compliant Spiral Spring Damper Joint Actuator With Energy- Based Sliding-Mode Controller,IEEE/ASME T-Mech,Jan,2024
593,Encoded sewing soft textile robots,Science,Jan,2024
594,Wireless flow-powered miniature robot capable of traversing tubular structures,Science,Mar,2024
595,3D nanofabricated soft microrobots with super-compliant picoforce springs as onboard sensors and actuators,Nature,Jan,2024
596,"High-stretch, tendon-driven, fiber-reinforced membrane soft actuators with multiple active degrees of freedom",Nature,Feb,2023
597,3D-Printed Origami Actuators for a Multianimal-Inspired Soft Robot with Amphibious Locomotion and Tongue Hunting,SoRo Journal,Feb,2024
598,4D Printed Self-Sustained Soft Crawling Machines Fueled by Constant Thermal Field,Wiley,Mar,2024
599,Reconfigurable Transparent Variable-Stiffness Soft Robot for Underwater Operations,Wiley,Mar,2024
600,Origami-Patterned Rigidification for Soft Robotic Bifurcation,Wiley,Mar,2024
601,A Soft Robotic Morphing Wing for Unmanned Underwater Vehicles,Wiley,Mar,2024
602,Edible Soft Actuators Based on Konjac Glucomannan for Underwater Operation,Wiley,Mar,2024
603,UV Light-Mediated Hydrolytic Reaction to Develop Magnetic Hydrogel Actuators with Spatially Distributed Ferriferous Oxide Microparticles,Wiley,Mar,2024
604,Soft Chemiresistive Sensing Shields Soft Robotic Actuators from Mechanical Degradation due to Critical Solvent Exposure,Wiley,Feb,2024
605,Reprogrammable Magnetic Soft Actuators with Microfluidic Functional Modules via Pixel-Assembly,Wiley,Jan,2024
606,Ultra-Stretchable and Environmentally Resilient Hydrogels Via Sugaring-Out Strategy for Soft Robotics Sensing,"Adv, Materials",Feb,2024
607,Soft Robotic Finger Based on Double-Layer Liquid-Crystal Elastomer With Built-In Grid Structure Pressure Sensor,IEEE Sensors,Mar,2024
608,Soft-Tipped Sensor With Compliance Control for Elasticity Sensing and Palpation,IEEE T-RO,Feb,2024
609,Incipient Slip Detection by Vibration Injection Into Soft Sensor,IEEE RA-L,Feb,2024
610,ELTac: A Vision-Based Electroluminescent Tactile Sensing Skin for Force Localization and Magnitude Estimation,IEEE Sensors,Jan,2024
611,Computational design of ultra-robust strain sensors for soft robot perception and autonomy,Nature,Feb,2024
612,Haptic Localization with a Soft Whisker from Moment Readings at the Base,SoRo Journal,Jan,2024
613,Fabrication Process for Twisting Artificial Muscles by Utilizing Braiding Technology and Water-Soluble Fibers,IEEE RA-L,Jan,2024
614,"Enhancing the Versatility and Performance of Soft Robotic Grippers, Hands, and Crawling Robots Through Three-Dimensional-Printed Multifunctional Buckling Joints",SoRo Journal,Mar,2024
615,Utilizing Bioinspired Soft Modular Appendages for Grasping and Locomotion in Multi-Legged Robots on Ground and Underwater,IEEE RA-L,Mar,2024
616,"Stenus-inspired, swift, and agile untethered insect-scale soft propulsors",Nature,Feb,2024
617,Multimodal Soft Robotic Actuation and Locomotion,Wiley,Feb,2024
618,Design and Implementation of a Magnetic Coupling Based Segmented Bend Angle Sensor for a Soft Robotic Gripper,IEEE TIM,Mar,2024
619,Intersection-Free Robot Manipulation With Soft-Rigid Coupled Incremental Potential Contact,IEEE RA-L,Mar,2024
620,A Magnetic Helical Miniature Robot With Soft Magnetic-Controlled Gripper,IEEE RA-L,Feb,2024
621,Customizable Power Grasps From Uncrewed Aerial Vehicles via a Soft Wrapping Gripper,IEEE/ASME T-Mech,Feb,2024
622,Impact of Physical Parameters and Vision Data on Deep Learning-Based Grip Force Estimation for Fluidic Origami Soft Grippers,IEEE RA-L,Jan,2024
623,Inchworm-Inspired Soft Robot With Controllable Locomotion Based on Self-Sensing of Deformation,IEEE RA-L,Mar,2024
624,A growing soft robot with climbing plant�inspired adaptive behaviors for navigation in unstructured environments,Science,Jan,2024
625,Fast-Swimming Soft Robotic Fish Actuated by Bionic Muscle,SoRo Journal,Mar,2024
626,Soft Robots with Plant-Inspired Gravitropism Based on Fluidic Liquid Metal,Wiley,Mar,2024
627,Magnetically Controlled Millipede Inspired Soft Robot for Releasing Drugs on Target Area in Stomach,IEEE RA-L,Mar,2024
628,Design and Hierarchical Control of a Homocentric Variable-Stiffness Magnetic Catheter for Multiarm Robotic Ultrasound-Assisted Coronary Intervention,IEEE T-RO,Mar,2024
629,Deep-Learning-Based Force Sensing Method for a Flexible Endovascular Surgery Robot,IEEE TIM,Mar,2024
630,A Frequency-Modulated Tripedal Soft Magnetic Robot With Diverse Motion Modalities for Ingestible Applications,IEEE RA-L,Jan,2024
631,Multiple Hand Posture Rehabilitation System Using Vision-Based Intention Detection and Soft-Robotic Glove,IEEE T-II,Jan,2024
632,Ajisai: A Structure That Matches the Relationship Between Force and Color to Human Perception,IEEE RA-L,Mar,2024
633,From Skin Movement to Wearable Robotics: The Case of Robotic Gloves,SoRo Journal,Jan,2024
634,Fast-Response Variable-Stiffness Magnetic Catheters for Minimally Invasive Surgery,Wiley,Jan,2024
635,Multistable States and Snap-Through Instabilities in an Interconnected Dielectric Elastomer Actuators System,Appl Mechanics,Jan,2024
636,A Variable Stiffness Anthropomorphic Finger Through Embodied Intelligence Design,IEEE RA-L,Feb,2024
637,Design and Modeling of a Multi-DoF Magnetic Continuum Robot With Diverse Deformation Modes,IEEE RA-L,Mar,2024
638,Modeling of a Six-Bar Tensegrity Robot Using the Port-Hamiltonian Framework and Experimental Validation,IEEE RA-L,Mar,2024
639,Input Decoupling of Lagrangian Systems via Coordinate Transformation: General Characterization and Its Application to Soft Robotics,IEEE T-RO,Feb,2024
640,Data-Driven Momentum Observers With Physically Consistent Gaussian Processes,IEEE T-RO,Feb,2024
641,DisMech: A Discrete Differential Geometry-Based Physical Simulator for Soft Robots and Structures,IEEE RA-L,Feb,2024
642,Kinematics-Informed Neural Networks: Enhancing Generalization Performance of Soft Robot Model Identification,IEEE RA-L,Feb,2024
643,Unified Shape and External Load State Estimation for Continuum Robots,IEEE T-RO,Feb,2024
644,Dynamics and Control of Soft Robots With Implicit Strain Parametrization,IEEE RA-L,Jan,2024
645,"Sorotoki: A Matlab Toolkit for Design, Modeling, and Control of Soft Robots",IEEE Access,Jan,2024
646,Position and Orientation Control for Hyperelastic Multisegment Continuum Robots,IEEE/ASME T-Mech,Jan,2024
647,"Design, Modeling, and Control of Soft Syringes Enabling Two Pumping Modes for Pneumatic Robot Applications",IEEE/ASME T-Mech,Jan,2024
648,Safe Supervisory Control of Soft Robot Actuators,SoRo Journal,Feb,2024
649,Learning-Based Control for Soft Robot�Environment Interaction with Force/Position Tracking Capability,SoRo Journal,Feb,2024
650,Diversity-Based Topology Optimization of Soft Robotic Grippers,Wiley,Jan,2024
651,A world of soft robotics,Harvard,Feb,2024
652,"A variable compliance, soft gripper","Auton Robot,",Jan,2014
653,A dragline-forming mobile robot inspired by spiders,"Bioinspir, Biomim,",Jan,2014
654,Detection and prevention of slip using sensors with different properties embedded in elastic artificial skin on the basis of previous experience,"Robot Auton Syst,",Jan,2014
655,Design and control of a bio-inspired soft wearable robotic device for ankle�foot rehabilitation,"Bioinspir, Biomim,",Jan,2014
656,Growing and evolving soft robots,Artificial Life,,2014
657,A bio-inspired multi degree of freedom actuator based on a novel cylindrical ionic polymer�metal composite material,"Robot Auton Syst,",Jan,2014
658,Active sensing system with in situ adjustable sensor morphology,PLoS ONE,Dec,2013
659,Untethered micro-robotic coding of three-dimensional material composition,"Nat Commun,",Jan,2014
660,Fractal design concepts for stretchable electronics,"Nat Commun,",Feb,2014
661,Generalized mathematical representation of the soft tissue artefact,"J, Biomech,",Jan,2014
662,Structure and mechanical properties of Octopus vulgaris sucker,"J, R, Soc, Interface",Feb,2014
663,Soft cell simulator: A tool to study soft multi-cellular robots,IEEE ROBIO,Dec,2013
664,Octopus suckers have groovy secret for strength,Scientific American,Dec,2013
665,Rubbery robot fingers play piano faster than a human,New Scientist,Jan,2014
666,Spiderman robot spins draglines to cross open space,"Phys,org",Jan,2014
667,Template for robust soft-body crawling with reflex-triggered gripping,"Bioinspir, Biomim,, Feb",,2015
668,Force measurements of flexible tandem wings in hovering and forward flights,"Bioinspir, Biomim,, Feb",,2015
669,Tactile surface classification for limbed robots using a pressure sensitive robot skin,"Bioinspir, Biomim,, Feb",,2015
670,Ultrafast all-Polymer electrically tunable silicone lenses,"Adv, Funct, Mater,, Jan",,2015
671,XPED2: A passive exoskeleton with artificial tendons,"IEEE Robot, Automat, Mag,, Dec",,2014
672,A would-be nervous system made from a slime mold,"Artif, Life, Dec",,2014
673,Electronic dura mater for long-term multimodal neural interfaces,"Science, Jan",,2015
674,Robot looks like a fish to ride with marine life,"Phys,org, Jan",,2015
675,These inflatable pouch motors will make building robots as easy as using stickers,"IEEE Spectrum, Jan",,2015
676,Miniaturized swimming soft robot with complex movement actuated and controlled by remote light signals,"Scientific Report, Dec",,2015
677,A soft jellyfish robot driven by a dielectric elastomer actuator,"IEEE RA-L, Jan",,2016
678,"Hydrodynamics of a robotic fish tail: effects of the caudal peduncle, fin ray motions and the flow speed","Bioinspir, Biomim,, Feb",,2016
679,Bi-directional series-parallel elastic actuator and overlap of the actuation layers,"Bioinspir, Biomim,, Jan",,2016
680,Simulation of networked dielectric elastomer balloon actuators,"IEEE RA-L, Jan",,2016
681,Soft robotic grippers for biological sampling on deep reefs,"Soft Robotics, Jan",,2016
682,Material witness: Correcting errors in self-assembly,"Nature Materials, Dec",,2015
683,Simultaneous covalent and noncovalent hybrid polymerizations,"Science, Jan",,2016
684,When wearable electronics devices disappear into clothes,"KurzweilAI, Dec",,2015
685,Working the angles,"ASME,org, Dec",,2015
686,"A flexible, transparent pressure sensor","KurzweilAI, Jan",,2016
687,"Hybrid polymer shows promise in self-repairing materials, smart drug delivery, and artificial muscles","Gizmag,com, Jan",,2016
688,Shocking! �Electric eel� fibers could power wearable tech,"LiveScience,com, Jan",,2016
689,Smart wearable sensor takes sweat-monitoring to next level,"IEEE Spectrum, Jan",,2016
690,Squishy robot fingers gently tickle deep sea critters,"IEEE Spectrum, Jan",,2016
691,Let�s bring Rosie home: 5 challenges we need to solve for home robots,"IEEE Spectrum, Jan",,2016
692,"Meet the soft, cuddly robots of the future","Nature � News, Feb",,2016
693,Mechanical chameleon changes colors on the fly,"Discover Magazine, Feb",,2016
694,General dynamic algorithm for floating base tree structure robots with flexible joints and links,"J, Mechanisms Robotics",Jan,2017
695,Poincar�s equations for cosserat media: Application to shells,"J, Nonlinear Sci,, Feb",,2017
696,Skinning a robot: Design methodologies for large-scale robot skin,"IEEE Robot, Autom, Mag,",Dec,2016
697,Bio-inspired annelid robot: a dielectric elastomer actuated soft robot,"Bioinspir, Biomim,",Jan,2017
698,Hydraulic hydrogel actuators and robots optically and sonically camouflaged in water,"Nature Commun,",Feb,2017
699,A magnetic soft endoscopic capsule-inflated intragastric balloon for weight management,"Sci, Rep,",Dec,2016
700,Soft robotic sleeve supports heart function,"Sci, Transl, Med,",Jan,2017
701,Learning autonomous behaviours for the body of a flexible surgical robot,Autonomous Robot,Feb,2017
702,Passive swimming in viscous oscillatory flows,"Phys, Rev, E",Dec,2016
703,A bio-inspired electro-active velcro mechanism using Shape Memory Alloy for wearable and stiffness controllable layers,,,2016
704,Stretchy robotic suit reduces energy used to walk by 23 percent,New Scientist,Jan,2017
705,"A transparent, self-healing, highly stretchable conductive material",KurzweilAI,Jan,2017
706,Soft robot hugs your heart to keep it pumping,IEEE Spectrum,Jan,2017
707,"Hydraulic muscle makes for tougher, stronger disaster-site robots",New Atlas,Jan,2017
708,Watch a squishy robot oh-so-gently catch a fish,"Popular Science, Feb",,2017
709,Cutting the cord � editorial,"Nature Electronics, Jan",,2018
710,Controllable and reversible tuning of material rigidity for robot applications,"Materials Today, Feb",,2018
711,"Topology optimized design, fabrication and characterization of a soft cable-driven gripper","IEEE RA-L, Jan",,2018
712,Inversion of friction anisotropy in a bio-inspired asymmetrically structured surface,"J, Royal Soc, Interface, Jan",,2018
713,Locomotion of a bioinspired flyer powered by one pair of pitching foils,"Phys, Rev, Fluids",Jan,2018
714,Directly printable flexible strain sensors for bending and contact feedback of soft actuators,"Front, Robot, AI, Feb",,2018
715,Soft humanoid motor learning,"Science Robotics, Dec",,2017
716,Hydraulically amplified self-healing electrostatic actuators with muscle-like performance,Science,Jan,2018
717,Energetic analysis and optimization of a MACCEPA actuator in an ankle prosthesis,"Autonomous Robots, Jan",,2018
718,Micro 3D printing of a temperature-responsive hydrogel using projection micro-stereolithography,"Scie, Rep,",Jan,2018
719,Biomechanical mechanisms underlying exosuit-induced improvements in walking economy after stroke,"Journal of Experimental Biology, Jan",,2018
720,Infrared actuation-induced simultaneous reconfiguration of surface color and morphology for soft robotics,"Sci, Rep,, Dec",,2017
721,Multi-armed droplets as shape-changing protocells,"Artif, Life, Jan",,2018
722,Soft robotic muscle may lead to lifelike robots,"ASME, Dec",,2017
723,Flexible system-on-chip may expand IoT reach,"Electronics 360, Dec",,2017
724,An overview on principles for energy efficient robot locomotion,"Front, Robot, AI",Dec,2018
725,Energy autonomous electronic skin,npj Flexible Electronics,Jan,2019
726,Elasticity versus hyperelasticity considerations in quasistatic modeling of a soft finger-like robotic appendage for real-time position and force estimation,Soft Robotics,Jan,2019
727,Soft wall-climbing robots,Science Robotics,Dec,2018
728,Model-based compensation of rate-dependent hysteresis in a piezoresistive strain sensor,"IEEE Trans, Ind, Electron,",Jan,2019
729,Electro-ribbon actuators and electro-origami robots,Science Robotics,Dec,2018
730,A variable-stiffness tendril-like soft robot based on reversible osmotic actuation,"Nat, Comun,",Jan,2019
731,"Fast-response, stiffness-tunable soft actuator by hybrid multimaterial 3D printing","Adv, Funct, Mater,",Jan,2019
732,Biohybrid valveless pump-bot powered by engineered skeletal muscle,Proc Natl Acad Sci,Jan,2019
733,High-precision tracking control of a soft dielectric elastomer actuator with inverse viscoelastic hysteresis compensation,"IEEE/ASME Trans, Mechatronics",Feb,2019
734,The challenges and achievements of experimental implementation of an active transfemoral prosthesis based on biological quasi-stiffness: The CYBERLEGs beta-prosthesis,"Front, Neurorobotics",Dec,2018
735,Comparison of the human-exosuit interaction using ankle moment and ankle positive power inspired walking assistance,"J, Biomech",Jan,2019
736,Bifurcation-based embodied logic and autonomous actuation,"Nat, Comun,",Jan,2019
737,Micro-robots powered by chemistry grasp and creep,"Nat, Highlights",Dec,2018
738,"Bots, britches, and bees",GatesNotes,Jan,2019
739,"3D printed, magnetic mesh �robots� float, bend and grab on demand",NewAtlas,Jan,2019
740,A vision for future bioinspired and biohybrid robots,"Sci, Robot",Jan,2020
741,On an improved state parametrization for soft robots with piecewise constant curvature and its use in model based control,IEEE RA-L,Jan,2020
742,TMTDyn: A Matlab package for modeling and control of hybrid rigid� continuum robots based on discretized lumped system and reduced order models,"Int, J, Robot, Res,",Jan,2020
743,"A soft gripper with programmable effective length, tactile and curvature sensory feedback","Smart, Mater, Struct,",Jan,2020
744,An autonomous untethered fast soft robotic insect driven by low- voltage dielectric elastomer actuators,"Sci, Robot,",Dec,2019
745,A lightweight simulation model for soft robot�s locomotion and its application to trajectory optimization,IEEE RA-L,Jan,2020
746,Future trends in instrumentation and measurement: Indirect sensing in soft robots using observers/filters,"IEEE Instru, Meas, Mag,",Feb,2020
747,Stiffness imaging with a continuum appendage: Real-time shape and tip force estimation from base load readings,IEEE RA-L,Feb,2020
748,Autonomic perspiration in 3D-printed hydrogel actuators,"Sci, Robot",Jan,2020
749,"Tunable, flexible, and resilient robots driven by an electrostatic actuator",Advance Intelligent Systems,Jan,2020
750,Improving the performance of industrial machines with variable stiffness springs,"Mech, Based Des, Struc,",Jan,2020
751,Bio-inspired active skins for surface morphing,"Sci, Rep,",Dec,2019
752,A scalable pipeline for designing reconfigurable organisms,"Proc, Natl, Acad, Sci,",Jan,2020
753,Complex multiphase organohydrogels with programmable mechanics toward adaptive soft-matter machines,"Sci, Adv,",Jan,2020
754,Reconfigurable and programmable origami dielectric elastomer actuators with 3D shape morphing and emissive architectures,"NPG Asia Mater,",Dec,2019
755,Smash this robot,IEEE Spectrum,Dec,2019
756,First �living robots� designed on supercomputer,The Guardian,Jan,2020
757,"Meet Xenobot, an eerie new kind of programmable organism","Wired,com",Jan,2020
758,Soft robot fingers sweat to cool themselves,IEEE Spectrum,Jan,2020
759,Wearable soft technologies for haptic sensing and feedback,Adv Mater,Dec,2020
760,Squid-inspired robots perform swimmingly,Sci Robot,Jan,2021
761,Self-powered electro-tactile system for virtual tactile experiences,Sci Adv,Jan,2021
762,Tactile sensing biohybrid soft E-skin based on bioimpedance using aloe vera pulp tissues,Sci Rep,Feb,2021
763,Design and testing of a soft parallel robot based on pneumatic artificial muscles for wrist rehabilitation,Sci Rep,Jan,2021
764,Electro-pneumatic pumps for soft robotics,Sci Robot,Feb,2021
765,Textile technology for soft robotic and autonomous garments,Adv Funct Mater,Dec,2020
766,Kinematic modeling and control of variable curvature soft continuum robots,IEEE/ASME Trans Mechatronics,Jan,2021
767,"Aquatic robot inspired by sea creatures walks, rolls, transports cargo",Eurekalert,Dec,2020
768,A robot arm toting a Venus flytrap can grab delicate objects,ScienceNews,Jan,2021
769,Robotic News: What�s trending in February 2021 � Soft Skills,Robotshop,Feb,2021
770,Soft legged robot uses pneumatic circuitry to walk like a turtle,IEEE Spectrum,Feb,2021
771,Smart materials for four-dimensional printing: An overview,Sage,Aug,2022
772,"Roadmap on soft robotics: multifunctionality, adaptability and growth without borders",Multifunc Mater,Aug,2022
773,A fluidic relaxation oscillator for reprogrammable sequential actuation in soft robots,Mater,Jul,2022
774,Design of Wearable Hand Rehabilitation Glove With Bionic Fiber- Reinforced Actuator,IEEE Journal,Aug,2022
775,RoboHeart: A Bi-Directional Zipping Actuator,IEEE RA-L,Jul,2022
776,Soft Fluidic Actuator for Locomotion in Multi-Phase Environments,IEEE RA-L,Jul,2022
777,Reconfigurable Self-Sensing Pneumatic Artificial Muscle With Locking Ability Based on Modular Multi-Chamber Soft Actuator,IEEE RA-L,Jul,2022
778,Programmed shape-morphing into complex target shapes using architected dielectric elastomer actuators,Science,Jul,2022
779,Compact Multilayer Extension Actuators for Reconfigurable Soft Robots,SoRo Journal,Aug,2022
780,Buckling suppression of a thin-walled Miura-origami patterned tube,PLoS One,Jul,2022
781,High-Gain Microfluidic Amplifiers: The Bridge between Microfluidic Controllers and Fluidic Soft Actuators,Adv Intel Sys,Sep,2022
782,Wireless Miniature Magnetic Phase-Change Soft Actuators,Adv Mater,Aug,2022
783,The Fabrication and Applications of Bioinspired Hydrogel Actuators,"Smart Stimuli-Responsive Polymers, Films, and Gels",Aug,2022
784,Programmable soft valves for digital and analog control,PNAS,Sep,2022
785,A Spring-Based Inductive Sensor for Soft and Flexible Robots,IEEE Sensors,Aug,2022
786,Vision-Based Sensing for Electrically-Driven Soft Actuators,IEEE RA-L,Aug,2022
787,Transferable Shape Estimation of Soft Pneumatic Actuators Based on Active Vibroacoustic Sensing,IEEE RA-L,Jul,2022
788,Liquid-metal micro-networks with strain-induced conductivity for soft electronics and robotic skin,Nature,Sep,2022
789,Speckle-based high-resolution multimodal soft sensing,Nature,Jul,2022
790,Whisker Sensing by Force and Moment Measurements at the Whisker Base,SoRo Journal,Aug,2022
791,Hydrogel-Based Flexible Electronics,Adv Mater,Aug,2022
792,A wearable textile-based pneumatic energy harvesting system for assistive robotics,Sci Adv,Aug,2022
793,Integrated 3D printing of flexible electroluminescent devices and soft robots,Nature,Aug,2022
794,A Method for 3D Printing and Rapid Prototyping of Fieldable Untethered Soft Robots,SoRo Journal,Jul,2022
795,Locomotion via Active Suction in a Sea Star-Inspired Soft Robot,IEEE RA-L,Jul,2022
796,Adaptive wireless millirobotic locomotion into distal vasculature,Nature,Aug,2022
797,Design and Closed-Loop Motion Planning of an Untethered Swimming Soft Robot Using 2D Discrete Elastic Rods Simulations,Adv Intel Sys,Sep,2022
798,A Two-Finger Soft Gripper Based on Bistable Mechanism,IEEE RA-L,Aug,2022
799,Optimizing Out-of-Plane Stiffness for Soft Grippers,IEEE RA-L,Jul,2022
800,GSG: A Granary-Shaped Soft Gripper With Mechanical Sensing via Snap- Through Structure,IEEE RA-L,Jul,2022
801,Soft Microdenticles on Artificial Octopus Sucker Enable Extraordinary Adaptability and Wet Adhesion on Diverse Nonflat Surfaces,Adv Sci,Aug,2022
802,Octopus-inspired adhesive skins for intelligent and rapidly switchable underwater adhesion,Science,Jul,2022
803,"Design, Analysis, and Real-Time Simulation of a 3D Soft Robotic Snake",SoRo Journal,Aug,2022
804,Biomechanical and Physiological Evaluation of Biologically-Inspired Hip Assistance With Belt-Type Soft Exosuits,IEEE Transactions,Sep,2022
805,SOPHIE: Soft and Flexible Aerial Vehicle for Physical Interaction With the Environment,IEEE RA-L,Aug,2022
806,Magnetic Soft Continuum Robots With Braided Reinforcement,IEEE RA-L,Jul,2022
807,Magnetic soft robotic bladder for assisted urination,Science,Aug,2022
808,SpringWorm: A Soft Crawling Robot with a Large-Range Omnidirectional Deformable Rectangular Spring for Control Rod Drive Mechanism Inspection,SoRo Journal,Aug,2022
809,Aerial additive manufacturing with multiple autonomous robots,Nature,Sep,2022
810,On the Use of Magnets to Robustify the Motion Control of Soft Hands,IEEE RA-L,Sep,2022
811,Research on the Inverse Kinematics Prediction of a Soft Biomimetic Actuator via BP Neural Network,IEEE Access,Jul,2022
812,Using R-Functions to Control the Shape of Soft Robots,IEEE RA-L,Jul,2022
813,Shape Estimation of a 3D Printed Soft Sensor Using Multi-Hypothesis Extended Kalman Filter,IEEE RA-L,Jul,2022
814,System norm regularization methods for Koopman operator approximation,Proc Royal Soc A,Sep,2022
815,Proxy-based sliding-mode tracking control of dielectric elastomer actuators through eliminating rate-dependent viscoelasticity,Smart Mater,Sep,2022
816,A concise guide to modelling the physics of embodied intelligence in soft robotics,Nature,Aug,2022
817,Tactile Resilience of Sensory Whisker by Adaptive Morpholog y,IEEE Access,Sep,2022
818,3D printing drones work like bees to build and repair structures while flying,Imperial College London,Sep,2022
819,"Berry Picking Today, Robotic Surgery Tomorrow",ASME,Aug,2022
820,Chemically fueling new microrobot abilities,Science,Sep,2023
821,Mechanical metamaterials and /beyond/,Nature,Sep,2023
822,Engineering Magnetic Soft and Reconfigurable Robots,SoRo Journal,Aug,2023
823,Soft Robotics in Waste Management,"Book Chapter, Wiley",Sep,2023
824,Materializing Autonomy in Soft Robots across Scales,Adv Intel Sys,Aug,2023
825,"A Review on High-Frequency Dielectric Elastomer Actuators: Materials, Dynamics, and Applications",Adv Intel Sys,Jul,2023
826,Design and Validation of a High DOF Origami Inspired Soft Actuated Assistive Exoskeleton Arm and Spine,IEEE T-MRB,Sep,2023
827,A Small Steerable Tip Based on Dielectric Elastomer Actuators,IEEE RA-L,Aug,2023
828,Programmable Soft Robotics Actuator With Pneumatic Networks (PneuNets),IEEE Sensors Journal,Jul,2023
829,Increasing the payload capacity of soft robot arms by localized stiffening,Science,Aug,2023
